#CONFIG#{"theme": "light", "font_size": 16, "window_width": 2048, "window_height": 1189, "font_family": "Microsoft YaHei UI"}
时间,科目,题干,正确答案,附件路径,难度,合集
2026-01-24 17:09:27,语文,现代文阅读：阅读下面的文字，完成题目,根据汉字的读音规则和声调，正确答案是B选项。,无,简单,
2026-01-28 06:06:02,语文,现代文阅读：阅读下面的文字，完成题目,把握文章主旨，理解作者观点态度。,无,中等,
2026-02-05 10:54:42,语文,下列各句中，没有语病的一句是,熟悉文学常识，准确判断各选项的正误。,无,简单,
2026-02-11 14:41:46,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,运用等差数列的通项公式和前n项和公式求解。,attachment_3551.pdf,简单,
2026-01-30 16:43:11,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用正弦定理和余弦定理解决三角形问题。,无,中等,
2026-02-16 02:40:37,语文,现代文阅读：阅读下面的文字，完成题目,熟悉文学常识，准确判断各选项的正误。,无,中等,
2026-01-27 08:15:43,语文,下列词语中，没有错别字的一组是,根据上下文和词义辨析，选择最合适的解释。,无,困难,
2026-02-02 15:39:14,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,根据椭圆的标准方程和离心率公式计算。,无,中等,
2026-01-29 14:08:50,语文,下列句子中，加点字的读音完全正确的一项是,结合语境和成语的含义，C项使用恰当。,无,困难,
2026-02-11 01:42:13,语文,对下列句子中加点词语的解释，不正确的一项是,通过分析各选项中的汉字结构和用法，确定A项为正确答案。,attachment_3557.pdf,中等,
2026-02-08 08:38:02,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用正弦定理和余弦定理解决三角形问题。,attachment_3558.pdf,简单,
2026-02-09 10:52:13,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",求导后分析导函数的符号确定单调区间。,无,中等,
2026-02-11 13:22:53,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用配方法或求导法找到函数的最小值点。,attachment_3560.pdf,困难,
2026-02-01 12:09:51,数学,函数 f(x) = sin x + cos x 的最大值为,利用复数除法法则和模的定义计算。,attachment_3561.pdf,困难,
2026-02-07 13:20:06,语文,下列各句中，没有语病的一句是,理解文言文中的实词、虚词、句式，推断文意。,无,中等,
2026-01-24 03:19:53,语文,对下列句子中加点词语的解释，不正确的一项是,熟悉文学常识，准确判断各选项的正误。,无,困难,
2026-02-17 19:30:09,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用正态分布的对称性求解概率。,无,困难,
2026-01-27 17:13:24,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",运用等差数列的通项公式和前n项和公式求解。,无,中等,
2026-02-16 16:33:47,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,求导后分析导函数的符号确定单调区间。,attachment_3566.pdf,中等,
2026-02-20 00:59:21,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",求导后分析导函数的符号确定单调区间。,无,困难,
2026-02-03 19:19:54,语文,下列词语中，没有错别字的一组是,结合语境和成语的含义，C项使用恰当。,无,困难,
2026-02-16 12:33:40,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,求导后分析导函数的符号确定单调区间。,无,中等,
2026-02-20 04:22:09,语文,下列词语中，没有错别字的一组是,从诗歌的意境、表达技巧等角度分析，得出答案。,attachment_3570.pdf,困难,
2026-01-29 15:22:38,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用配方法或求导法找到函数的最小值点。,无,简单,
2026-02-08 11:52:17,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用正态分布的对称性求解概率。,无,中等,
2026-02-05 09:51:32,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用复数除法法则和模的定义计算。,无,简单,
2026-02-19 14:50:55,语文,下列各句中，加点的成语使用恰当的一句是,熟悉文学常识，准确判断各选项的正误。,无,困难,
2026-02-04 05:33:05,数学,函数 f(x) = sin x + cos x 的最大值为,利用正弦定理和余弦定理解决三角形问题。,无,困难,
2026-01-31 03:40:58,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用向量垂直的条件 a·b = 0 求解。,无,中等,
2026-02-14 09:24:42,语文,下列词语中，没有错别字的一组是,熟悉文学常识，准确判断各选项的正误。,无,中等,
2026-01-27 16:01:34,语文,古诗词鉴赏：阅读下面这首诗，完成题目,理解文言文中的实词、虚词、句式，推断文意。,attachment_3578.pdf,中等,
2026-02-20 10:42:24,语文,古诗词鉴赏：阅读下面这首诗，完成题目,根据汉字的读音规则和声调，正确答案是B选项。,无,困难,
2026-01-25 22:56:44,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",利用线性规划的方法求目标函数的最值。,attachment_3580.pdf,困难,
2026-01-29 06:50:20,语文,下列文学常识的表述，错误的一项是,理解文言文中的实词、虚词、句式，推断文意。,attachment_3581.pdf,中等,
2026-01-28 06:38:52,语文,下列各句中，加点的成语使用恰当的一句是,熟练背诵名篇名句，准确填写。,attachment_3582.pdf,简单,
2026-02-09 13:42:36,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用向量垂直的条件 a·b = 0 求解。,无,中等,
2026-02-11 06:14:45,语文,古诗词鉴赏：阅读下面这首诗，完成题目,从诗歌的意境、表达技巧等角度分析，得出答案。,无,简单,
2026-02-19 18:48:10,数学,函数 f(x) = sin x + cos x 的最大值为,利用配方法或求导法找到函数的最小值点。,无,中等,
2026-02-03 15:54:57,语文,下列句子中，加点字的读音完全正确的一项是,理解文言文中的实词、虚词、句式，推断文意。,attachment_3586.pdf,困难,
2026-01-25 02:24:58,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,利用复数除法法则和模的定义计算。,无,中等,
2026-02-06 03:06:39,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,求导后分析导函数的符号确定单调区间。,attachment_3588.pdf,简单,
2026-02-17 15:20:16,语文,文言文阅读：阅读下面的文言文，完成题目,通过分析各选项中的汉字结构和用法，确定A项为正确答案。,无,困难,
2026-02-19 00:53:16,语文,下列句子中，加点字的读音完全正确的一项是,结合语境和成语的含义，C项使用恰当。,attachment_3590.pdf,困难,
2026-01-29 04:39:04,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,利用线性规划的方法求目标函数的最值。,attachment_3591.pdf,中等,
2026-02-17 09:45:01,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,利用复数除法法则和模的定义计算。,无,困难,
2026-02-02 22:31:48,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,运用等差数列的通项公式和前n项和公式求解。,无,简单,
2026-02-09 11:57:12,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,求导后分析导函数的符号确定单调区间。,attachment_3594.pdf,中等,
2026-02-10 12:52:40,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",根据椭圆的标准方程和离心率公式计算。,无,困难,
2026-01-21 22:03:34,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用正态分布的对称性求解概率。,无,困难,
2026-01-26 15:08:40,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用复数除法法则和模的定义计算。,attachment_3597.pdf,中等,
2026-02-04 21:26:32,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",将函数化为辅助角公式的形式求最值。,无,中等,
2026-02-18 03:27:07,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用向量垂直的条件 a·b = 0 求解。,attachment_3599.pdf,中等,
2026-02-01 15:40:26,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,求导后分析导函数的符号确定单调区间。,attachment_3600.pdf,困难,
2026-02-17 10:36:23,语文,对下列句子中加点词语的解释，不正确的一项是,结合语境和成语的含义，C项使用恰当。,无,困难,
2026-02-04 07:29:34,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",根据椭圆的标准方程和离心率公式计算。,无,困难,
2026-02-01 20:16:32,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,利用正态分布的对称性求解概率。,无,简单,
2026-02-09 19:33:12,语文,文言文阅读：阅读下面的文言文，完成题目,分析句子结构，找出语病类型并修正。,无,中等,
2026-02-18 23:51:52,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,运用等差数列的通项公式和前n项和公式求解。,无,简单,
2026-02-21 11:42:30,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",利用配方法或求导法找到函数的最小值点。,无,中等,
2026-02-16 11:17:40,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",求导后分析导函数的符号确定单调区间。,attachment_3607.pdf,中等,
2026-02-14 19:33:43,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,利用线性规划的方法求目标函数的最值。,无,困难,
2026-02-17 03:57:41,语文,下列各句中，没有语病的一句是,熟悉文学常识，准确判断各选项的正误。,无,中等,
2026-01-27 01:05:00,语文,现代文阅读：阅读下面的文字，完成题目,分析句子结构，找出语病类型并修正。,无,中等,
2026-02-09 07:53:51,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",利用正态分布的对称性求解概率。,无,简单,
2026-01-24 05:00:11,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用配方法或求导法找到函数的最小值点。,无,简单,
2026-02-16 21:27:58,语文,下列各句中，没有语病的一句是,把握文章主旨，理解作者观点态度。,无,简单,
2026-02-08 21:08:03,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,根据椭圆的标准方程和离心率公式计算。,无,困难,
2026-02-20 02:39:39,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用复数除法法则和模的定义计算。,无,中等,
2026-01-28 12:40:03,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",利用正弦定理和余弦定理解决三角形问题。,无,中等,
2026-02-18 10:55:20,语文,现代文阅读：阅读下面的文字，完成题目,从诗歌的意境、表达技巧等角度分析，得出答案。,无,困难,
2026-02-08 02:43:37,语文,古诗文默写：补写出下列名篇名句中的空缺部分,把握文章主旨，理解作者观点态度。,无,简单,
2026-01-31 16:06:32,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",运用等差数列的通项公式和前n项和公式求解。,无,简单,
2026-02-01 13:07:59,语文,文言文阅读：阅读下面的文言文，完成题目,分析句子结构，找出语病类型并修正。,无,中等,
2026-02-13 11:08:00,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用线性规划的方法求目标函数的最值。,无,中等,
2026-02-13 20:41:03,语文,对下列句子中加点词语的解释，不正确的一项是,根据汉字的读音规则和声调，正确答案是B选项。,attachment_3622.pdf,困难,
2026-02-06 05:28:47,语文,现代文阅读：阅读下面的文字，完成题目,根据上下文和词义辨析，选择最合适的解释。,无,困难,
2026-01-23 15:13:30,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,求导后分析导函数的符号确定单调区间。,attachment_3624.pdf,困难,
2026-02-08 09:15:48,语文,下列词语中，没有错别字的一组是,熟练背诵名篇名句，准确填写。,attachment_3625.pdf,中等,
2026-02-08 04:27:31,语文,古诗文默写：补写出下列名篇名句中的空缺部分,根据上下文和词义辨析，选择最合适的解释。,无,简单,
2026-01-22 19:13:20,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用线性规划的方法求目标函数的最值。,attachment_3627.pdf,中等,
2026-02-14 12:27:46,语文,文言文阅读：阅读下面的文言文，完成题目,根据上下文和词义辨析，选择最合适的解释。,attachment_3628.pdf,中等,
2026-02-12 21:14:44,语文,下列各句中，加点的成语使用恰当的一句是,理解文言文中的实词、虚词、句式，推断文意。,attachment_3629.pdf,简单,
2026-02-17 01:20:52,语文,古诗文默写：补写出下列名篇名句中的空缺部分,通过分析各选项中的汉字结构和用法，确定A项为正确答案。,无,简单,
2026-01-31 01:21:44,语文,现代文阅读：阅读下面的文字，完成题目,结合语境和成语的含义，C项使用恰当。,attachment_3631.pdf,困难,
2026-02-05 04:49:47,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用正态分布的对称性求解概率。,无,困难,
2026-02-18 23:29:37,数学,函数 f(x) = sin x + cos x 的最大值为,运用等差数列的通项公式和前n项和公式求解。,无,困难,
2026-02-07 16:50:22,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用正弦定理和余弦定理解决三角形问题。,无,中等,
2026-02-10 20:42:38,语文,对下列句子中加点词语的解释，不正确的一项是,通过分析各选项中的汉字结构和用法，确定A项为正确答案。,attachment_3635.pdf,简单,
2026-02-06 20:23:30,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用正弦定理和余弦定理解决三角形问题。,无,简单,
2026-02-12 22:59:28,语文,下列句子中，加点字的读音完全正确的一项是,根据上下文和词义辨析，选择最合适的解释。,无,中等,
2026-01-26 23:29:14,数学,函数 f(x) = sin x + cos x 的最大值为,将函数化为辅助角公式的形式求最值。,无,中等,
2026-02-08 05:59:46,语文,文言文阅读：阅读下面的文言文，完成题目,熟悉文学常识，准确判断各选项的正误。,attachment_3639.pdf,困难,
2026-02-03 21:01:08,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",求导后分析导函数的符号确定单调区间。,无,困难,
2026-02-04 09:36:57,语文,下列各句中，加点的成语使用恰当的一句是,根据上下文和词义辨析，选择最合适的解释。,无,中等,
2026-02-03 03:32:23,语文,下列词语中，没有错别字的一组是,结合语境和成语的含义，C项使用恰当。,无,中等,
2026-01-24 08:29:32,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用正弦定理和余弦定理解决三角形问题。,无,困难,
2026-02-14 04:53:09,语文,古诗文默写：补写出下列名篇名句中的空缺部分,把握文章主旨，理解作者观点态度。,attachment_3644.pdf,中等,
2026-02-19 14:34:34,语文,古诗文默写：补写出下列名篇名句中的空缺部分,根据上下文和词义辨析，选择最合适的解释。,attachment_3645.pdf,困难,
2026-02-03 04:51:36,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,运用等差数列的通项公式和前n项和公式求解。,无,简单,
2026-02-10 13:53:59,语文,文言文阅读：阅读下面的文言文，完成题目,熟练背诵名篇名句，准确填写。,无,中等,
2026-01-27 22:24:26,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,运用等差数列的通项公式和前n项和公式求解。,无,困难,
2026-01-24 23:55:12,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用线性规划的方法求目标函数的最值。,attachment_3649.pdf,简单,
2026-01-29 22:27:38,语文,现代文阅读：阅读下面的文字，完成题目,根据汉字的读音规则和声调，正确答案是B选项。,无,困难,
2026-02-18 11:29:42,语文,下列各句中，没有语病的一句是,把握文章主旨，理解作者观点态度。,无,简单,
2026-02-02 14:05:42,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用正态分布的对称性求解概率。,无,中等,
2026-02-15 02:23:05,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用线性规划的方法求目标函数的最值。,attachment_3653.pdf,中等,
2026-01-25 14:42:42,语文,现代文阅读：阅读下面的文字，完成题目,把握文章主旨，理解作者观点态度。,无,困难,
2026-01-23 17:59:51,语文,下列各句中，没有语病的一句是,根据汉字的读音规则和声调，正确答案是B选项。,无,困难,
2026-02-14 19:17:14,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,根据椭圆的标准方程和离心率公式计算。,无,简单,
2026-01-25 03:15:44,语文,文言文阅读：阅读下面的文言文，完成题目,根据汉字的读音规则和声调，正确答案是B选项。,无,困难,
2026-02-08 10:31:50,语文,下列文学常识的表述，错误的一项是,根据上下文和词义辨析，选择最合适的解释。,无,简单,
2026-02-17 07:35:39,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",将函数化为辅助角公式的形式求最值。,attachment_3659.pdf,困难,
2026-02-02 14:08:41,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用正弦定理和余弦定理解决三角形问题。,无,中等,
2026-02-19 11:45:45,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用向量垂直的条件 a·b = 0 求解。,无,简单,
2026-01-31 03:36:23,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用配方法或求导法找到函数的最小值点。,无,中等,
2026-02-15 16:52:04,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用配方法或求导法找到函数的最小值点。,无,简单,
2026-02-11 18:27:59,语文,文言文阅读：阅读下面的文言文，完成题目,理解文言文中的实词、虚词、句式，推断文意。,无,困难,
2026-01-31 01:04:38,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",将函数化为辅助角公式的形式求最值。,无,中等,
2026-02-20 14:37:09,语文,下列句子中，加点字的读音完全正确的一项是,熟悉文学常识，准确判断各选项的正误。,attachment_3666.pdf,困难,
2026-01-22 17:05:35,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",运用等差数列的通项公式和前n项和公式求解。,attachment_3667.pdf,简单,
2026-02-21 13:42:49,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,利用向量垂直的条件 a·b = 0 求解。,无,简单,
2026-02-08 08:49:20,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,将函数化为辅助角公式的形式求最值。,无,中等,
2026-02-19 21:50:45,语文,古诗词鉴赏：阅读下面这首诗，完成题目,从诗歌的意境、表达技巧等角度分析，得出答案。,无,困难,
2026-02-09 19:12:13,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,运用等差数列的通项公式和前n项和公式求解。,无,中等,
2026-02-14 09:24:52,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",运用等差数列的通项公式和前n项和公式求解。,无,中等,
2026-01-26 06:34:55,语文,下列各句中，没有语病的一句是,从诗歌的意境、表达技巧等角度分析，得出答案。,attachment_3673.pdf,简单,
2026-01-25 13:04:05,语文,下列句子中，加点字的读音完全正确的一项是,通过分析各选项中的汉字结构和用法，确定A项为正确答案。,attachment_3674.pdf,简单,
2026-01-31 12:17:46,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,根据椭圆的标准方程和离心率公式计算。,attachment_3675.pdf,简单,
2026-02-20 01:27:06,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,根据椭圆的标准方程和离心率公式计算。,attachment_3676.pdf,简单,
2026-02-06 10:41:17,语文,下列句子中，加点字的读音完全正确的一项是,从诗歌的意境、表达技巧等角度分析，得出答案。,无,困难,
2026-02-18 23:43:43,语文,古诗词鉴赏：阅读下面这首诗，完成题目,结合语境和成语的含义，C项使用恰当。,无,简单,
2026-02-20 04:18:16,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,利用配方法或求导法找到函数的最小值点。,attachment_3679.pdf,中等,
2026-02-11 20:05:44,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用正态分布的对称性求解概率。,attachment_3680.pdf,困难,
2026-02-20 03:31:50,语文,下列词语中，没有错别字的一组是,从诗歌的意境、表达技巧等角度分析，得出答案。,无,中等,
2026-02-08 00:12:07,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,根据椭圆的标准方程和离心率公式计算。,无,简单,
2026-01-29 22:44:11,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用正态分布的对称性求解概率。,无,中等,
2026-02-03 02:29:03,语文,下列文学常识的表述，错误的一项是,理解文言文中的实词、虚词、句式，推断文意。,attachment_3684.pdf,中等,
2026-01-26 09:26:16,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用复数除法法则和模的定义计算。,无,困难,
2026-01-31 19:16:20,语文,下列各句中，加点的成语使用恰当的一句是,理解文言文中的实词、虚词、句式，推断文意。,无,简单,
2026-02-11 17:55:17,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用向量垂直的条件 a·b = 0 求解。,无,中等,
2026-02-21 13:57:40,语文,现代文阅读：阅读下面的文字，完成题目,熟练背诵名篇名句，准确填写。,attachment_3688.pdf,中等,
2026-02-01 12:04:02,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,利用配方法或求导法找到函数的最小值点。,attachment_3689.pdf,中等,
2026-02-21 19:12:00,语文,现代文阅读：阅读下面的文字，完成题目,通过分析各选项中的汉字结构和用法，确定A项为正确答案。,无,困难,
2026-01-26 08:32:11,语文,对下列句子中加点词语的解释，不正确的一项是,根据汉字的读音规则和声调，正确答案是B选项。,无,中等,
2026-01-23 12:19:10,语文,下列句子中，加点字的读音完全正确的一项是,通过分析各选项中的汉字结构和用法，确定A项为正确答案。,无,中等,
2026-02-20 14:07:50,语文,文言文阅读：阅读下面的文言文，完成题目,分析句子结构，找出语病类型并修正。,无,困难,
2026-01-31 21:22:48,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,根据椭圆的标准方程和离心率公式计算。,无,困难,
2026-02-03 14:06:58,语文,下列句子中，加点字的读音完全正确的一项是,从诗歌的意境、表达技巧等角度分析，得出答案。,attachment_3695.pdf,中等,
2026-02-07 21:05:53,语文,现代文阅读：阅读下面的文字，完成题目,根据上下文和词义辨析，选择最合适的解释。,无,中等,
2026-02-12 16:47:13,语文,现代文阅读：阅读下面的文字，完成题目,把握文章主旨，理解作者观点态度。,无,中等,
2026-01-30 18:09:17,语文,现代文阅读：阅读下面的文字，完成题目,熟悉文学常识，准确判断各选项的正误。,attachment_3698.pdf,困难,
2026-01-26 16:51:19,语文,古诗词鉴赏：阅读下面这首诗，完成题目,根据汉字的读音规则和声调，正确答案是B选项。,无,中等,
2026-02-19 12:50:59,语文,对下列句子中加点词语的解释，不正确的一项是,熟悉文学常识，准确判断各选项的正误。,无,简单,
2026-02-06 10:22:29,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用正态分布的对称性求解概率。,无,简单,
2026-02-12 19:06:28,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用向量垂直的条件 a·b = 0 求解。,无,困难,
2026-02-11 04:32:10,语文,对下列句子中加点词语的解释，不正确的一项是,熟悉文学常识，准确判断各选项的正误。,无,中等,
2026-02-05 20:44:25,语文,现代文阅读：阅读下面的文字，完成题目,分析句子结构，找出语病类型并修正。,attachment_3704.pdf,中等,
2026-01-25 13:26:15,语文,下列文学常识的表述，错误的一项是,通过分析各选项中的汉字结构和用法，确定A项为正确答案。,无,中等,
2026-02-08 11:49:03,语文,下列各句中，没有语病的一句是,结合语境和成语的含义，C项使用恰当。,无,困难,
2026-02-02 00:52:33,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用线性规划的方法求目标函数的最值。,attachment_3707.pdf,中等,
2026-02-04 19:09:13,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",运用等差数列的通项公式和前n项和公式求解。,无,困难,
2026-02-18 10:00:41,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",运用等差数列的通项公式和前n项和公式求解。,无,困难,
2026-02-08 11:51:36,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用配方法或求导法找到函数的最小值点。,attachment_3710.pdf,困难,
2026-01-29 12:02:05,语文,现代文阅读：阅读下面的文字，完成题目,从诗歌的意境、表达技巧等角度分析，得出答案。,attachment_3711.pdf,中等,
2026-02-04 23:12:28,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,利用配方法或求导法找到函数的最小值点。,attachment_3712.pdf,中等,
2026-02-05 14:55:33,语文,下列词语中，没有错别字的一组是,熟练背诵名篇名句，准确填写。,无,中等,
2026-01-27 03:31:46,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",求导后分析导函数的符号确定单调区间。,无,困难,
2026-02-09 07:23:18,语文,对下列句子中加点词语的解释，不正确的一项是,熟悉文学常识，准确判断各选项的正误。,无,困难,
2026-02-21 18:03:06,语文,对下列句子中加点词语的解释，不正确的一项是,根据上下文和词义辨析，选择最合适的解释。,无,简单,
2026-02-13 15:02:23,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",根据椭圆的标准方程和离心率公式计算。,attachment_3717.pdf,困难,
2026-02-13 06:42:15,语文,古诗词鉴赏：阅读下面这首诗，完成题目,根据汉字的读音规则和声调，正确答案是B选项。,attachment_3718.pdf,简单,
2026-02-21 06:25:03,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,运用等差数列的通项公式和前n项和公式求解。,无,中等,
2026-01-22 11:43:58,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",求导后分析导函数的符号确定单调区间。,无,中等,
2026-01-25 10:34:56,语文,下列文学常识的表述，错误的一项是,分析句子结构，找出语病类型并修正。,无,中等,
2026-01-30 02:54:14,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",利用向量垂直的条件 a·b = 0 求解。,无,简单,
2026-02-17 22:52:12,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用正态分布的对称性求解概率。,无,中等,
2026-01-22 03:15:32,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用复数除法法则和模的定义计算。,无,困难,
2026-02-05 02:08:06,语文,古诗文默写：补写出下列名篇名句中的空缺部分,根据汉字的读音规则和声调，正确答案是B选项。,无,困难,
2026-02-05 16:59:41,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,将函数化为辅助角公式的形式求最值。,attachment_3726.pdf,困难,
2026-02-03 20:08:38,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用正态分布的对称性求解概率。,attachment_3727.pdf,简单,
2026-01-30 16:15:12,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",利用向量垂直的条件 a·b = 0 求解。,无,中等,
2026-02-02 01:24:17,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,根据椭圆的标准方程和离心率公式计算。,attachment_3729.pdf,简单,
2026-02-08 09:17:36,语文,古诗文默写：补写出下列名篇名句中的空缺部分,理解文言文中的实词、虚词、句式，推断文意。,无,中等,
2026-01-27 16:12:35,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",根据椭圆的标准方程和离心率公式计算。,attachment_3731.pdf,简单,
2026-02-17 10:35:48,语文,下列词语中，没有错别字的一组是,熟悉文学常识，准确判断各选项的正误。,无,困难,
2026-02-17 04:30:01,数学,函数 f(x) = sin x + cos x 的最大值为,利用正态分布的对称性求解概率。,无,简单,
2026-01-29 10:05:45,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,利用配方法或求导法找到函数的最小值点。,无,简单,
2026-02-20 20:40:04,语文,下列句子中，加点字的读音完全正确的一项是,根据上下文和词义辨析，选择最合适的解释。,无,简单,
2026-02-10 09:43:26,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",求导后分析导函数的符号确定单调区间。,无,中等,
